results/objectId,results/location/__type,results/location/latitude,results/location/longitude,results/cityId,results/name,results/country,results/countryCode,results/featureCode,results/adminCode,results/population,results/createdAt,results/updatedAt,results/muni
2ibGeiquR9,GeoPoint,42.13333,24.53333,726890,Stamboliyski,Bulgaria,BG,PPL,51,12070,2019-12-12T18:54:52.039Z,2019-12-12T18:54:52.039Z,
uLLnXkHSgl,GeoPoint,43.19167,25.18111,726643,Suhindol,Bulgaria,BG,PPL,62,2364,2019-12-12T18:54:52.039Z,2019-12-12T18:54:52.039Z,
yd3DNQvzYK,GeoPoint,42.26667,24.55,726657,Saedinenie,Bulgaria,BG,PPL,51,6427,2019-12-12T18:54:52.039Z,2019-12-12T18:54:52.039Z,
BGsEm6J3tt,GeoPoint,43.23333,25.96667,726727,Strazhitsa,Bulgaria,BG,PPL,62,5728,2019-12-12T18:54:52.039Z,2019-12-12T18:54:52.039Z,
8sr99QtFVp,GeoPoint,41.73835,24.02435,726612,Sarnitsa,Bulgaria,BG,PPLA2,48,0,2019-12-12T18:54:52.039Z,2019-12-12T18:54:52.039Z,PAZ08-15
HQGXKc5uN5,GeoPoint,42.6,26.68333,726748,Straldzha,Bulgaria,BG,PPL,65,5817,2019-12-12T18:54:52.039Z,2019-12-12T18:54:52.039Z,
qSGpMtlRrD,GeoPoint,43.70168,28.30399,726954,Spasovo,Bulgaria,BG,PPLA2,40,0,2019-12-12T18:54:52.039Z,2019-12-12T18:54:52.039Z,DOB12-36
6mQN6ATEk2,GeoPoint,41.8,23.18333,726863,Stara Kresna,Bulgaria,BG,PPL,38,3586,2019-12-12T18:54:52.039Z,2019-12-12T18:54:52.039Z,
fyUqY8LjdZ,GeoPoint,43.06667,27.01667,727025,Smyadovo,Bulgaria,BG,PPL,54,4231,2019-12-12T18:54:52.039Z,2019-12-12T18:54:52.039Z,
pvDONzfGel,GeoPoint,42.26667,23.11667,726872,Dupnitsa,Bulgaria,BG,PPL,45,34764,2019-12-12T18:54:52.039Z,2019-12-12T18:54:52.039Z,
95LtaQFTcu,GeoPoint,41.63333,23.2,726693,Strumyani,Bulgaria,BG,PPL,38,1058,2019-12-12T18:54:52.039Z,2019-12-12T18:54:52.039Z,
k7qcxvkBqt,GeoPoint,42.41801,27.6956,726963,Sozopol,Bulgaria,BG,PPLA2,39,4500,2019-12-12T18:54:52.039Z,2019-12-12T18:54:52.039Z,
EljtOGUKjB,GeoPoint,41.57439,24.71204,727030,Smolyan,Bulgaria,BG,PPLA,57,32069,2019-12-12T18:54:52.039Z,2019-12-12T18:54:52.039Z,
HILXhQJedR,GeoPoint,42.69751,23.32415,727011,Sofia,Bulgaria,BG,PPLC,42,1152556,2019-12-12T18:54:52.039Z,2019-12-12T18:54:52.039Z,
vqcC8sI481,GeoPoint,43.94248,26.20464,727067,Slivo Pole,Bulgaria,BG,PPLA2,53,3252,2019-12-12T18:54:52.370Z,2019-12-12T18:54:52.370Z,
bEKMivsbzQ,GeoPoint,42.85182,23.03792,727069,Slivnitsa,Bulgaria,BG,PPLA2,58,7545,2019-12-12T18:54:52.370Z,2019-12-12T18:54:52.370Z,
VFCAwZnsKO,GeoPoint,41.88333,23.11667,727212,Simitli,Bulgaria,BG,PPL,38,6729,2019-12-12T18:54:52.370Z,2019-12-12T18:54:52.370Z,
RrkkzvwPZs,GeoPoint,42.21138,24.12946,727354,Septemvri,Bulgaria,BG,PPLA2,48,8745,2019-12-12T18:54:52.370Z,2019-12-12T18:54:52.370Z,
Z0gk7KJclZ,GeoPoint,42.71667,25.33333,727291,Shipka,Bulgaria,BG,PPL,59,1604,2019-12-12T18:54:52.370Z,2019-12-12T18:54:52.370Z,SZR12-18
RhFcrCPvvW,GeoPoint,44.0273,27.01982,727175,Sitovo,Bulgaria,BG,PPLA2,55,1140,2019-12-12T18:54:52.370Z,2019-12-12T18:54:52.370Z,
WmCCCAu10R,GeoPoint,43.46667,24.86667,727087,Slavyanovo,Bulgaria,BG,PPL,50,4793,2019-12-12T18:54:52.370Z,2019-12-12T18:54:52.370Z,PVN24-20
gSQmm2Hidl,GeoPoint,42.56079,27.52195,727434,Sarafovo,Bulgaria,BG,PPL,39,3290,2019-12-12T18:54:52.370Z,2019-12-12T18:54:52.370Z,
pzMKIawPqW,GeoPoint,42.03333,25.83333,727217,Simeonovgrad,Bulgaria,BG,PPL,43,7388,2019-12-12T18:54:52.370Z,2019-12-12T18:54:52.370Z,
rbSqgMGDXO,GeoPoint,41.56667,23.28333,727447,Sandanski,Bulgaria,BG,PPL,38,26459,2019-12-12T18:54:52.370Z,2019-12-12T18:54:52.370Z,
